ticker,date,period_ending,estimate,reported,surprise,surprise%
GATX,2021-07-20,Jun-21,1.01,1.35,0.34,33.66
GBCI,2021-07-22,Jun-21,0.73,0.81,0.08,10.96
GBIO,2021-08-11,Jun-21,-0.47,-0.55,-0.08,-17.02
GBT,2021-08-03,Jun-21,-1.17,-1.12,0.05,4.27
GBX,2021-07-09,May-21,0.09,0.69,0.6,666.67
GCI,2021-08-06,Jun-21,-0.72,0.2,0.92,127.78
GCO,2021-09-02,Jul-21,-0.01,1.05,1.06,10600
GCP,2021-08-05,Jun-21,0.21,0.22,0.01,4.76
GD,2021-07-28,Jun-21,2.52,2.61,0.09,3.57
GDDY,2021-08-04,Jun-21,0.3,0.27,-0.03,-10
GDEN,2021-08-05,Jun-21,0.45,2.73,2.28,506.67
GDOT,2021-08-03,Jun-21,0.46,0.68,0.22,47.83
GDYN,2021-08-05,Jun-21,0.06,0.1,0.04,66.67
GE,2021-07-27,Jun-21,0.24,0.4,0.16,66.67
GEF,2021-09-01,Jul-21,1.6,1.93,0.33,20.63
GEO,2021-08-04,Jun-21,0.58,0.7,0.12,20.69
GERN,2021-08-16,Jun-21,-0.09,-0.09,0,0
GES,2021-08-25,Jul-21,0.68,0.96,0.28,41.18
GEVO,2021-08-12,Jun-21,-0.05,-0.09,-0.04,-80
GFF,2021-07-29,Jun-21,0.41,0.43,0.02,4.88
GGG,2021-07-21,Jun-21,0.61,0.62,0.01,1.64
GH,2021-08-05,Jun-21,-0.87,-0.96,-0.09,-10.34
GIII,2021-09-02,Jul-21,0.1,0.39,0.29,290
GILD,2021-07-29,Jun-21,1.76,1.87,0.11,6.25
GIS,2021-06-30,May-21,0.83,0.91,0.08,9.64
GKOS,2021-08-05,Jun-21,-0.24,-0.11,0.13,54.17
GL,2021-07-21,Jun-21,1.83,1.85,0.02,1.09
GLDD,2021-08-03,Jun-21,0.21,0.03,-0.18,-85.71
GLNG,2021-08-09,Jun-21,-0.04,-0.07,-0.03,-75
GLOB,2021-08-12,Jun-21,0.84,0.88,0.04,4.76
GLPI,2021-07-29,Jun-21,0.86,0.87,0.01,1.16
GLW,2021-07-27,Jun-21,0.51,0.53,0.02,3.92
GM,2021-08-04,Jun-21,1.89,1.97,0.08,4.23
GME,2021-09-08,Jul-21,-0.42,-0.76,-0.34,-80.95
GMED,2021-08-04,Jun-21,0.45,0.56,0.11,24.44
GMRE,2021-08-03,Jun-21,0.22,0.23,0.01,4.55
GMS,2021-09-02,Jul-21,1.3,1.67,0.37,28.46
GNK,2021-08-04,Jun-21,0.72,0.75,0.03,4.17
GNL,2021-08-05,Jun-21,0.46,-0.14,-0.6,-130.43
GNRC,2021-07-28,Jun-21,2.35,2.39,0.04,1.7
GNTX,2021-07-23,Jun-21,0.43,0.36,-0.07,-16.28
GNTY,2021-07-19,Jun-21,0.76,0.77,0.01,1.32
GO,2021-08-10,Jun-21,0.23,0.23,0,0
GOCO,2021-08-11,Jun-21,-0.05,-0.03,0.02,40
GOGO,2021-08-05,Jun-21,-0.04,-0.03,0.01,25
GOLF,2021-08-05,Jun-21,0.77,1.08,0.31,40.26
GOOD,2021-08-09,Jun-21,0.39,0.37,-0.02,-5.13
GOOG,2021-07-27,Jun-21,19.89,27.26,7.37,37.05
GOOGL,2021-07-27,Jun-21,19.89,27.26,7.37,37.05
GOSS,2021-08-09,Jun-21,-0.77,-0.8,-0.03,-3.9
GPC,2021-07-22,Jun-21,1.58,1.74,0.16,10.13
GPI,2021-07-29,Jun-21,10.1,10.31,0.21,2.08
GPK,2021-07-27,Jun-21,0.28,0.26,-0.02,-7.14
GPMT,2021-08-09,Jun-21,0.36,0.27,-0.09,-25
GPN,2021-08-02,Jun-21,1.89,2.04,0.15,7.94
GPRE,2021-08-02,Jun-21,-0.2,0.25,0.45,225
GPRO,2021-08-05,Jun-21,0.04,0.12,0.08,200
GPS,2021-08-26,Jul-21,0.47,0.7,0.23,48.94
GRBK,2021-08-03,Jun-21,0.84,1.02,0.18,21.43
GRMN,2021-07-28,Jun-21,1.23,1.68,0.45,36.59
GRPN,2021-08-05,Jun-21,-0.34,0.33,0.67,197.06
GRTS,2021-08-05,Jun-21,-0.53,-0.33,0.2,37.74
GRWG,2021-08-12,Jun-21,0.12,0.11,-0.01,-8.33
GS,2021-07-13,Jun-21,9.9,15.02,5.12,51.72
GSAT,2021-08-05,Jun-21,-0.02,-0.01,0.01,50
GSBC,2021-07-21,Jun-21,1.3,1.46,0.16,12.31
GSHD,2021-07-28,Jun-21,0.18,0.13,-0.05,-27.78
GT,2021-08-06,Jun-21,0.17,0.32,0.15,88.24
GTES,2021-08-09,Jun-21,0.36,0.42,0.06,16.67
GTHX,2021-08-04,Jun-21,-0.96,-0.94,0.02,2.08
GTLS,2021-07-22,Jun-21,0.78,0.76,-0.02,-2.56
GTN,2021-08-05,Jun-21,0.32,0.27,-0.05,-15.63
GTY,2021-07-28,Jun-21,0.48,0.49,0.01,2.08
GVA,2021-07-29,Jun-21,0.44,0.91,0.47,106.82
GWRE,2021-09-02,Jul-21,0.28,0.37,0.09,32.14
GWW,2021-07-30,Jun-21,4.61,4.27,-0.34,-7.38
H,2021-08-03,Jun-21,-0.89,-1.15,-0.26,-29.21
HA,2021-07-27,Jun-21,-1.79,-1.44,0.35,19.55
HAE,2021-08-11,Jun-21,0.47,0.5,0.03,6.38
HAFC,2021-07-27,Jun-21,0.48,0.72,0.24,50
HAIN,2021-08-26,Jun-21,0.4,0.39,-0.01,-2.5
HAL,2021-07-20,Jun-21,0.22,0.26,0.04,18.18
HALO,2021-08-09,Jun-21,0.43,0.66,0.23,53.49
HAS,2021-07-26,Jun-21,0.5,1.05,0.55,110
HASI,2021-08-05,Jun-21,0.38,0.57,0.19,50
HAYN,2021-07-29,Jun-21,-0.17,0.03,0.2,117.65
HBAN,2021-07-29,Jun-21,0.32,0.35,0.03,9.38
HBCP,2021-07-27,Jun-21,1.2,1.34,0.14,11.67
HBI,2021-08-05,Jun-21,0.39,0.47,0.08,20.51
HBIO,2021-08-05,Jun-21,0.05,0.06,0.01,20
HBNC,2021-07-27,Jun-21,0.43,0.51,0.08,18.6
HCA,2021-07-20,Jun-21,3.17,4.37,1.2,37.85
HCC,2021-08-04,Jun-21,-0.16,0.25,0.41,256.25
HCCI,2021-07-28,Jun-21,0.38,0.64,0.26,68.42
HCI,2021-08-05,Jun-21,0.03,0.11,0.08,266.67
HCKT,2021-08-10,Jun-21,0.29,0.39,0.1,34.48
HCSG,2021-07-21,Jun-21,0.29,0.13,-0.16,-55.17
HD,2021-08-17,Jul-21,4.43,4.53,0.1,2.26
HE,2021-08-09,Jun-21,0.38,0.58,0.2,52.63
HEAR,2021-08-05,Jun-21,-0.07,0.14,0.21,300
HEES,2021-08-03,Jun-21,0.4,0.43,0.03,7.5
HEI,2021-08-24,Jul-21,0.54,0.56,0.02,3.7
HELE,2021-07-08,May-21,2.61,3.48,0.87,33.33
HES,2021-07-28,Jun-21,0.19,0.24,0.05,26.32
HFWA,2021-07-22,Jun-21,0.51,0.9,0.39,76.47
HGEN,2021-08-12,Jun-21,-0.46,-1.2,-0.74,-160.87
HGV,2021-07-29,Jun-21,0.21,0.1,-0.11,-52.38
