ticker,date,period_ending,estimate,reported,surprise,surprise%
LBRDK,2021-08-06,Jun-21,1.14,0.83,-0.31,-27.19
LBRT,2021-07-27,Jun-21,-0.12,-0.29,-0.17,-141.67
LC,2021-07-28,Jun-21,-0.41,0.09,0.5,121.95
LCII,2021-08-03,Jun-21,2.72,2.68,-0.04,-1.47
LCTX,2021-08-12,Jun-21,-0.03,-0.03,0,0
LDOS,2021-08-03,Jun-21,1.57,1.52,-0.05,-3.18
LE,2021-09-02,Jul-21,0.43,0.48,0.05,11.63
LEA,2021-08-06,Jun-21,2.4,2.45,0.05,2.08
LECO,2021-07-27,Jun-21,1.46,1.67,0.21,14.38
LEG,2021-08-02,Jun-21,0.51,0.66,0.15,29.41
LEN,2021-06-16,May-21,2.34,2.95,0.61,26.07
LESL,2021-08-04,Jun-21,0.57,0.64,0.07,12.28
LEU,2021-08-11,Jun-21,0.27,0.79,0.52,192.59
LFUS,2021-07-28,Jun-21,2.25,3.41,1.16,51.56
LGIH,2021-08-03,Jun-21,3.72,4.71,0.99,26.61
LGND,2021-07-29,Jun-21,1.45,1.63,0.18,12.41
LH,2021-07-29,Jun-21,5.64,6.13,0.49,8.69
LHCG,2021-08-04,Jun-21,1.55,1.62,0.07,4.52
LHX,2021-08-03,Jun-21,3.17,3.26,0.09,2.84
LII,2021-07-26,Jun-21,4.32,4.57,0.25,5.79
LIND,2021-08-03,Jun-21,-0.6,-0.71,-0.11,-18.33
LITE,2021-08-18,Jun-21,1.07,1.15,0.08,7.48
LIVN,2021-07-28,Jun-21,0.32,0.52,0.2,62.5
LKFN,2021-07-26,Jun-21,0.89,0.95,0.06,6.74
LKQ,2021-07-29,Jun-21,0.74,1.13,0.39,52.7
LL,2021-08-04,Jun-21,0.31,0.41,0.1,32.26
LLNW,2021-07-29,Jun-21,-0.03,-0.06,-0.03,-100
LLY,2021-08-03,Jun-21,1.89,1.87,-0.02,-1.06
LMAT,2021-07-29,Jun-21,0.34,0.4,0.06,17.65
LMND,2021-08-04,Jun-21,-0.88,-0.9,-0.02,-2.27
LMNR,2021-09-08,Jul-21,0.18,0.2,0.02,11.11
LMT,2021-07-26,Jun-21,6.51,7.13,0.62,9.52
LNC,2021-08-04,Jun-21,2.41,3.17,0.76,31.54
LNDC,2021-07-28,May-21,-0.03,0.07,0.1,333.33
LNG,2021-08-05,Jun-21,0.92,0.54,-0.38,-41.3
LNN,2021-07-01,May-21,1.22,1.61,0.39,31.97
LNT,2021-08-05,Jun-21,0.54,0.57,0.03,5.56
LNTH,2021-07-28,Jun-21,0.05,0.11,0.06,120
LOB,2021-07-21,Jun-21,0.59,1.41,0.82,138.98
LOCO,2021-08-05,Jun-21,0.27,0.29,0.02,7.41
LOPE,2021-08-05,Jun-21,1.09,1.12,0.03,2.75
LOVE,2021-09-09,Jul-21,-0.11,0.52,0.63,572.73
LOW,2021-08-18,Jul-21,3.99,4.25,0.26,6.52
LPI,2021-08-04,Jun-21,2.84,1.71,-1.13,-39.79
LPLA,2021-07-29,Jun-21,1.63,1.85,0.22,13.5
LPRO,2021-08-10,Jun-21,0.17,0.25,0.08,47.06
LPSN,2021-08-03,Jun-21,-0.15,-0.11,0.04,26.67
LPX,2021-08-03,Jun-21,4.4,4.74,0.34,7.73
LQDT,2021-08-05,Jun-21,0.19,0.26,0.07,36.84
LRCX,2021-07-28,Jun-21,7.53,8.09,0.56,7.44
LRN,2021-08-10,Jun-21,0.17,0.25,0.08,47.06
LSCC,2021-08-03,Jun-21,0.22,0.25,0.03,13.64
LSI,2021-08-03,Jun-21,1.15,0.74,-0.41,-35.65
LSTR,2021-07-21,Jun-21,2.34,2.4,0.06,2.56
LSXMK,2021-08-06,Jun-21,0.36,1,0.64,177.78
LTC,2021-07-29,Jun-21,0.68,0.57,-0.11,-16.18
LTHM,2021-08-05,Jun-21,0.02,0.04,0.02,100
LULU,2021-09-08,Jul-21,1.21,1.65,0.44,36.36
LUNA,2021-08-09,Jun-21,0.06,0.06,0,0
LUNG,2021-08-03,Jun-21,-0.38,-0.34,0.04,10.53
LUV,2021-07-22,Jun-21,-0.21,-0.35,-0.14,-66.67
LVS,2021-07-21,Jun-21,-0.19,-0.26,-0.07,-36.84
LW,2021-07-27,May-21,0.43,0.44,0.01,2.33
LXFR,2021-07-26,Jun-21,0.3,0.36,0.06,20
LXP,2021-08-05,Jun-21,0.19,0.26,0.07,36.84
LYB,2021-07-30,Jun-21,5.67,6.13,0.46,8.11
LYFT,2021-08-03,Jun-21,-0.23,-0.06,0.17,73.91
LYV,2021-08-03,Jun-21,-1.35,-0.9,0.45,33.33
LZ,2021-08-12,Jun-21,0.02,0.03,0.01,50
LZB,2021-08-17,Jul-21,0.57,0.55,-0.02,-3.51
M,2021-08-19,Jul-21,0.22,1.29,1.07,486.36
MA,2021-07-29,Jun-21,1.72,1.95,0.23,13.37
MAA,2021-07-28,Jun-21,1.64,1.88,0.24,14.63
MAC,2021-08-04,Jun-21,0.44,0.59,0.15,34.09
MAN,2021-07-20,Jun-21,1.42,2.02,0.6,42.25
MANH,2021-07-27,Jun-21,0.43,0.61,0.18,41.86
MANT,2021-08-03,Jun-21,0.87,0.99,0.12,13.79
MAR,2021-08-03,Jun-21,0.43,0.79,0.36,83.72
MARA,2021-08-13,Jun-21,0.21,0.17,-0.04,-19.05
MAS,2021-07-29,Jun-21,1.04,1.14,0.1,9.62
MASI,2021-07-27,Jun-21,0.91,0.94,0.03,3.3
MAT,2021-07-27,Jun-21,-0.03,0.03,0.06,200
MATW,2021-07-29,Jun-21,0.8,0.91,0.11,13.75
MATX,2021-07-29,Jun-21,3.67,3.71,0.04,1.09
MAXR,2021-08-04,Jun-21,0.16,0.6,0.44,275
MBIN,2021-07-28,Jun-21,1.07,1.05,-0.02,-1.87
MBUU,2021-08-26,Jun-21,1.66,1.84,0.18,10.84
MBWM,2021-07-20,Jun-21,0.82,1.12,0.3,36.59
MC,2021-07-21,Jun-21,0.82,1.19,0.37,45.12
MCB,2021-07-21,Jun-21,1.39,1.55,0.16,11.51
MCD,2021-07-28,Jun-21,2.12,2.37,0.25,11.79
MCFT,2021-09-02,Jun-21,0.8,0.98,0.18,22.5
MCHP,2021-08-03,Jun-21,0.95,0.99,0.04,4.21
MCK,2021-08-04,Jun-21,4.09,5.56,1.47,35.94
MCO,2021-07-28,Jun-21,2.76,3.22,0.46,16.67
MCRB,2021-08-03,Jun-21,-0.41,-0.53,-0.12,-29.27
MCRI,2021-07-28,Jun-21,0.7,0.93,0.23,32.86
MCS,2021-08-04,Jun-21,-0.84,-0.67,0.17,20.24
MCY,2021-08-03,Jun-21,1.1,1.13,0.03,2.73
MD,2021-08-06,Jun-21,0.33,0.41,0.08,24.24
MDB,2021-09-02,Jul-21,-0.41,-0.24,0.17,41.46
MDC,2021-07-29,Jun-21,1.98,2.11,0.13,6.57
MDGL,2021-08-05,Jun-21,-3.55,-3.72,-0.17,-4.79
MDLZ,2021-07-27,Jun-21,0.66,0.66,0,0
MDRX,2021-08-05,Jun-21,0.18,0.23,0.05,27.78
MDT,2021-08-24,Jul-21,1.32,1.41,0.09,6.82
MDU,2021-08-04,Jun-21,0.53,0.5,-0.03,-5.66
MDXG,2021-08-03,Jun-21,-0.07,-0.03,0.04,57.14
MED,2021-08-04,Jun-21,3.3,3.96,0.66,20
MEDP,2021-07-26,Jun-21,0.98,1.06,0.08,8.16
MEG,2021-08-10,Jun-21,0.09,-0.13,-0.22,-244.44
MET,2021-08-04,Jun-21,1.61,2.37,0.76,47.2
MFA,2021-08-05,Jun-21,0.32,0.52,0.2,62.5
MGEE,2021-08-05,Jun-21,0.62,0.63,0.01,1.61
MGI,2021-07-29,Jun-21,0.01,0.01,0,0
MGM,2021-08-04,Jun-21,-0.36,-0.13,0.23,63.89
MGNX,2021-07-29,Jun-21,-0.28,-0.66,-0.38,-135.71
MGPI,2021-08-04,Jun-21,0.43,1.27,0.84,195.35
MGRC,2021-08-03,Jun-21,0.82,0.84,0.02,2.44
MGTX,2021-08-11,Jun-21,-0.53,-0.46,0.07,13.21
MGY,2021-08-02,Jun-21,0.37,0.56,0.19,51.35
MHK,2021-07-29,Jun-21,3.71,4.45,0.74,19.95
MHO,2021-07-28,Jun-21,2.18,3.58,1.4,64.22
MIDD,2021-08-12,Jun-21,2.07,2.11,0.04,1.93
MIME,2021-08-03,Jun-21,0.3,0.32,0.02,6.67
MITK,2021-07-29,Jun-21,0.16,0.23,0.07,43.75
MKC,2021-07-01,May-21,0.64,0.69,0.05,7.81
MKL,2021-08-03,Jun-21,15.45,19.14,3.69,23.88
MKSI,2021-07-28,Jun-21,2.93,3.02,0.09,3.07
MKTX,2021-07-21,Jun-21,1.68,1.77,0.09,5.36
MLAB,2021-08-05,Jun-21,1.36,1.28,-0.08,-5.88
MLM,2021-07-29,Jun-21,3.91,3.81,-0.1,-2.56
MLNK,2021-09-07,Jun-21,0.03,0.16,0.13,433.33
MMC,2021-07-22,Jun-21,1.42,1.75,0.33,23.24
MMI,2021-08-06,Jun-21,0.38,0.78,0.4,105.26
MMM,2021-07-27,Jun-21,2.25,2.59,0.34,15.11
MMS,2021-08-05,Jun-21,1.12,1.66,0.54,48.21
MMSI,2021-07-29,Jun-21,0.44,0.62,0.18,40.91
MNKD,2021-08-11,Jun-21,-0.04,-0.05,-0.01,-25
MNRL,2021-08-04,Jun-21,0.22,0.25,0.03,13.64
MNRO,2021-07-28,Jun-21,0.51,0.55,0.04,7.84
MNST,2021-08-05,Jun-21,0.67,0.75,0.08,11.94
MO,2021-07-29,Jun-21,1.17,1.23,0.06,5.13
MOD,2021-08-04,Jun-21,0.28,0.2,-0.08,-28.57
MODN,2021-08-09,Jun-21,0.02,0.16,0.14,700
MOFG,2021-07-22,Jun-21,0.91,1.08,0.17,18.68
MOH,2021-07-28,Jun-21,3.47,3.4,-0.07,-2.02
MORF,2021-08-04,Jun-21,-0.55,-0.77,-0.22,-40
MOS,2021-08-02,Jun-21,1.01,1.17,0.16,15.84
MPAA,2021-08-09,Jun-21,0.23,0.43,0.2,86.96
MPB,2021-07-26,Jun-21,0.97,0.93,-0.04,-4.12
MPC,2021-08-04,Jun-21,0.45,0.67,0.22,48.89
MPW,2021-07-29,Jun-21,0.43,0.43,0,0
MPWR,2021-07-27,Jun-21,1.69,1.81,0.12,7.1
MRC,2021-07-29,Jun-21,0.04,0.08,0.04,100
MRCY,2021-08-03,Jun-21,0.67,0.73,0.06,8.96
MRK,2021-07-29,Jun-21,1.33,1.31,-0.02,-1.5
MRNA,2021-08-05,Jun-21,6.01,6.46,0.45,7.49
MRNS,2021-08-10,Jun-21,-0.68,-0.65,0.03,4.41
MRO,2021-08-04,Jun-21,0.18,0.22,0.04,22.22
MRSN,2021-08-06,Jun-21,-0.5,-0.59,-0.09,-18
MRTN,2021-07-15,Jun-21,0.26,0.26,0,0
MRTX,2021-08-05,Jun-21,-2.41,-3.23,-0.82,-34.02
MRVL,2021-08-26,Jul-21,0.31,0.34,0.03,9.68
MS,2021-07-15,Jun-21,1.63,1.89,0.26,15.95
MSA,2021-07-28,Jun-21,1.11,1.06,-0.05,-4.5
MSBI,2021-07-22,Jun-21,1.06,0.86,-0.2,-18.87
MSCI,2021-07-27,Jun-21,2.31,2.45,0.14,6.06
MSEX,2021-07-30,Jun-21,0.59,0.62,0.03,5.08
MSFT,2021-07-27,Jun-21,1.9,2.17,0.27,14.21
MSGE,2021-08-23,Jun-21,-3.06,-4.87,-1.81,-59.15
MSI,2021-08-05,Jun-21,1.92,2.07,0.15,7.81
MSM,2021-07-07,May-21,1.37,1.42,0.05,3.65
MSP,2021-08-11,Jun-21,0.12,0.17,0.05,41.67
MSTR,2021-07-29,Jun-21,0.73,1.72,0.99,135.62
MTB,2021-07-21,Jun-21,3.7,3.45,-0.25,-6.76
MTCH,2021-08-03,Jun-21,0.57,0.6,0.03,5.26
MTD,2021-07-29,Jun-21,7.64,8.1,0.46,6.02
MTDR,2021-07-27,Jun-21,0.72,1.02,0.3,41.67
MTEM,2021-08-12,Jun-21,-0.13,-0.28,-0.15,-115.38
MTG,2021-08-04,Jun-21,0.42,0.44,0.02,4.76
MTH,2021-07-28,Jun-21,3.45,4.36,0.91,26.38
MTN,2021-09-23,Jul-21,-3.64,-3.49,0.15,4.12
MTOR,2021-08-04,Jun-21,0.5,0.62,0.12,24
MTRN,2021-08-03,Jun-21,0.76,0.86,0.1,13.16
MTSI,2021-07-29,Jun-21,0.53,0.57,0.04,7.55
MTW,2021-08-05,Jun-21,0.09,0.6,0.51,566.67
MTX,2021-07-29,Jun-21,1.25,1.29,0.04,3.2
MTZ,2021-08-05,Jun-21,1.25,1.3,0.05,4
MU,2021-06-30,May-21,1.71,1.88,0.17,9.94
MUR,2021-08-05,Jun-21,0.26,0.59,0.33,126.92
MUSA,2021-07-28,Jun-21,3.39,4.79,1.4,41.3
MVBF,2021-07-29,Jun-21,0.65,0.73,0.08,12.31
MVIS,2021-08-04,Jun-21,-0.04,-0.04,0,0
MWA,2021-08-04,Jun-21,0.16,0.18,0.02,12.5
MXL,2021-07-28,Jun-21,0.5,0.53,0.03,6
MYE,2021-08-05,Jun-21,0.24,0.29,0.05,20.83
MYGN,2021-08-03,Jun-21,-0.07,0.12,0.19,271.43
MYRG,2021-07-28,Jun-21,1.03,1.24,0.21,20.39
NARI,2021-08-10,Jun-21,0.09,0.07,-0.02,-22.22
NAT,2021-08-30,Jun-21,-0.16,-0.18,-0.02,-12.5
NATI,2021-07-29,Jun-21,0.29,0.35,0.06,20.69
NAVI,2021-07-27,Jun-21,0.85,0.94,0.09,10.59
NBHC,2021-07-26,Jun-21,0.74,0.78,0.04,5.41
NBIX,2021-08-03,Jun-21,0.52,0.43,-0.09,-17.31
NBR,2021-07-27,Jun-21,-16.61,-18.01,-1.4,-8.43
NBTB,2021-07-26,Jun-21,0.78,0.93,0.15,19.23
NCBS,2021-07-20,Jun-21,1.65,1.77,0.12,7.27
NCLH,2021-08-06,Jun-21,-2,-1.93,0.07,3.5
NCNO,2021-09-01,Jul-21,-0.06,-0.02,0.04,66.67
NCR,2021-08-03,Jun-21,0.62,0.62,0,0
NDAQ,2021-07-21,Jun-21,1.73,1.9,0.17,9.83
NDLS,2021-08-03,Jun-21,0.11,0.1,-0.01,-9.09
NDSN,2021-08-30,Jul-21,2.12,2.42,0.3,14.15
NEE,2021-07-23,Jun-21,0.67,0.71,0.04,5.97
NEM,2021-07-22,Jun-21,0.76,0.83,0.07,9.21
NEO,2021-08-06,Jun-21,-0.05,-0.01,0.04,80
NEOG,2021-07-20,May-21,0.16,0.15,-0.01,-6.25
NESR,2021-08-04,Jun-21,0.17,0.14,-0.03,-17.65
NET,2021-08-05,Jun-21,-0.04,-0.02,0.02,50
NEWR,2021-08-03,Jun-21,-0.39,-0.25,0.14,35.9
NEX,2021-08-04,Jun-21,-0.16,-0.19,-0.03,-18.75
NFBK,2021-07-28,Jun-21,0.29,0.4,0.11,37.93
NFE,2021-08-04,Jun-21,-0.05,0.08,0.13,260
NFG,2021-08-05,Jun-21,0.86,0.93,0.07,8.14
NFLX,2021-07-20,Jun-21,3.16,2.97,-0.19,-6.01
NG,2021-06-29,May-21,-0.03,-0.03,0,0
NGM,2021-08-05,Jun-21,-0.39,-0.48,-0.09,-23.08
NGVT,2021-07-28,Jun-21,1.21,1.55,0.34,28.1
NHI,2021-08-09,Jun-21,1.25,1.16,-0.09,-7.2
NI,2021-08-04,Jun-21,0.14,0.13,-0.01,-7.14
NJR,2021-08-05,Jun-21,-0.07,-0.15,-0.08,-114.29
NKE,2021-06-24,May-21,0.51,0.93,0.42,82.35
NKLA,2021-08-03,Jun-21,-0.27,-0.2,0.07,25.93
NKTR,2021-08-05,Jun-21,-0.72,-0.69,0.03,4.17
NKTX,2021-08-12,Jun-21,-0.65,-0.66,-0.01,-1.54
NLOK,2021-07-27,Jun-21,0.41,0.42,0.01,2.44
NLS,2021-08-09,Jun-21,0.3,0.43,0.13,43.33
NLSN,2021-07-29,Jun-21,0.38,0.43,0.05,13.16
NLTX,2021-08-05,Jun-21,-0.27,-0.27,0,0
NLY,2021-07-28,Jun-21,0.27,0.3,0.03,11.11
NMIH,2021-08-03,Jun-21,0.63,0.67,0.04,6.35
NMRK,2021-08-06,Jun-21,0.22,0.31,0.09,40.91
NNN,2021-08-03,Jun-21,0.74,0.77,0.03,4.05
NOC,2021-07-29,Jun-21,5.75,6.42,0.67,11.65
NOG,2021-08-05,Jun-21,0.69,0.92,0.23,33.33
NOV,2021-07-27,Jun-21,-0.13,-0.04,0.09,69.23
NOVA,2021-07-28,Jun-21,-0.26,-0.42,-0.16,-61.54
NOVT,2021-08-10,Jun-21,0.51,0.62,0.11,21.57
NOW,2021-07-28,Jun-21,1.2,1.42,0.22,18.33
NPO,2021-08-03,Jun-21,1.24,1.56,0.32,25.81
NPTN,2021-08-03,Jun-21,-0.23,-0.22,0.01,4.35
NRG,2021-08-05,Jun-21,2.41,1.2,-1.21,-50.21
NRZ,2021-07-29,Jun-21,0.31,0.31,0,0
NSA,2021-08-03,Jun-21,0.51,0.25,-0.26,-50.98
NSC,2021-07-28,Jun-21,2.94,3.28,0.34,11.56
NSIT,2021-08-05,Jun-21,1.88,1.91,0.03,1.6
NSP,2021-08-02,Jun-21,0.65,0.91,0.26,40
NSSC,2021-09-13,Jun-21,0.13,0.14,0.01,7.69
NSTG,2021-08-04,Jun-21,-0.56,-0.6,-0.04,-7.14
NTAP,2021-08-25,Jul-21,0.95,1.15,0.2,21.05
NTB,2021-07-26,Jun-21,0.8,0.8,0,0
NTCT,2021-07-29,Jun-21,0.18,0.2,0.02,11.11
NTGR,2021-07-21,Jun-21,0.71,0.66,-0.05,-7.04
NTLA,2021-08-05,Jun-21,-0.61,-1.01,-0.4,-65.57
NTNX,2021-09-01,Jul-21,-0.43,-0.26,0.17,39.53
NTRA,2021-08-05,Jun-21,-1.05,-1.32,-0.27,-25.71
NTRS,2021-07-21,Jun-21,1.71,1.72,0.01,0.58
NTST,2021-07-29,Jun-21,0.22,-0.07,-0.29,-131.82
NTUS,2021-08-05,Jun-21,0.29,0.29,0,0
NUE,2021-07-22,Jun-21,4.81,5.04,0.23,4.78
NUS,2021-08-04,Jun-21,1.06,1.15,0.09,8.49
NUVA,2021-07-28,Jun-21,0.43,0.6,0.17,39.53
NVAX,2021-08-05,Jun-21,-3.76,-4.75,-0.99,-26.33
NVCR,2021-07-29,Jun-21,0.02,-0.14,-0.16,-800
NVDA,2021-08-18,Jul-21,1.01,1.04,0.03,2.97
NVEE,2021-08-10,Jun-21,0.99,1.34,0.35,35.35
NVR,2021-07-21,Jun-21,64.87,82.45,17.58,27.1
NVRO,2021-08-04,Jun-21,-0.71,-0.62,0.09,12.68
NVST,2021-08-03,Jun-21,0.44,0.53,0.09,20.45
NVT,2021-08-03,Jun-21,0.4,0.5,0.1,25
NVTA,2021-08-03,Jun-21,-0.65,-0.85,-0.2,-30.77
NWBI,2021-07-26,Jun-21,0.29,0.38,0.09,31.03
NWE,2021-07-27,Jun-21,0.47,0.72,0.25,53.19
NWL,2021-07-30,Jun-21,0.45,0.56,0.11,24.44
NWN,2021-08-05,Jun-21,-0.13,-0.02,0.11,84.62
NWPX,2021-08-04,Jun-21,0.28,0.21,-0.07,-25
NWSA,2021-08-05,Jun-21,0.11,0.16,0.05,45.45
NX,2021-09-02,Jul-21,0.42,0.42,0,0
NXGN,2021-07-29,Jun-21,0.21,0.25,0.04,19.05
NXPI,2021-08-02,Jun-21,2.31,2.38,0.07,3.03
NXRT,2021-07-27,Jun-21,0.65,-0.14,-0.79,-121.54
NXST,2021-08-04,Jun-21,3.87,4.51,0.64,16.54
NYCB,2021-07-28,Jun-21,0.3,0.33,0.03,10
NYMT,2021-08-05,Jun-21,0.11,0.11,0,0
NYT,2021-08-04,Jun-21,0.27,0.36,0.09,33.33
O,2021-08-02,Jun-21,0.88,0.88,0,0
OAS,2021-08-03,Jun-21,2.29,2.76,0.47,20.52
OBNK,2021-07-28,Jun-21,0.99,1.17,0.18,18.18
OC,2021-07-28,Jun-21,2.1,2.6,0.5,23.81
OCFC,2021-07-29,Jun-21,0.43,0.49,0.06,13.95
OCUL,2021-08-09,Jun-21,-0.2,-0.25,-0.05,-25
OCX,2021-08-10,Jun-21,-0.08,-0.08,0,0
ODFL,2021-07-28,Jun-21,2.17,2.31,0.14,6.45
ODP,2021-08-04,Jun-21,0.54,0.51,-0.03,-5.56
OEC,2021-08-05,Jun-21,0.53,0.62,0.09,16.98
OFC,2021-07-29,Jun-21,0.56,0.58,0.02,3.57
OFG,2021-07-21,Jun-21,0.53,0.78,0.25,47.17
OFIX,2021-08-06,Jun-21,0.16,0.32,0.16,100
OGE,2021-08-05,Jun-21,0.54,0.56,0.02,3.7
OGS,2021-08-02,Jun-21,0.49,0.56,0.07,14.29
OHI,2021-08-02,Jun-21,0.83,0.85,0.02,2.41
OI,2021-08-03,Jun-21,0.47,0.54,0.07,14.89
OII,2021-07-28,Jun-21,0.05,0.1,0.05,100
OIS,2021-07-28,Jun-21,-0.18,-0.17,0.01,5.56
OKE,2021-08-03,Jun-21,0.76,0.77,0.01,1.32
OKTA,2021-09-01,Jul-21,-0.35,-0.11,0.24,68.57
OLED,2021-08-05,Jun-21,0.73,0.85,0.12,16.44
OLLI,2021-08-26,Jul-21,0.57,0.52,-0.05,-8.77
OLN,2021-07-27,Jun-21,1.45,1.73,0.28,19.31
OLP,2021-08-04,Jun-21,0.5,1.12,0.62,124
OM,2021-08-05,Jun-21,-0.66,-0.57,0.09,13.64
OMC,2021-07-20,Jun-21,1.33,1.46,0.13,9.77
OMCL,2021-07-29,Jun-21,0.8,0.97,0.17,21.25
OMER,2021-08-09,Jun-21,-0.5,-0.4,0.1,20
OMF,2021-07-21,Jun-21,2.22,2.66,0.44,19.82
OMI,2021-08-03,Jun-21,0.93,1.06,0.13,13.98
ON,2021-08-02,Jun-21,0.49,0.63,0.14,28.57
ONB,2021-07-20,Jun-21,0.4,0.41,0.01,2.5
ONEM,2021-08-04,Jun-21,-0.19,-0.3,-0.11,-57.89
ONEW,2021-07-29,Jun-21,2.39,3.04,0.65,27.2
ONTO,2021-08-05,Jun-21,0.8,0.92,0.12,15
OOMA,2021-09-02,Jul-21,0.09,0.13,0.04,44.44
OPEN,2021-08-11,Jun-21,-0.35,0.01,0.36,102.86
OPI,2021-07-29,Jun-21,1.13,1.15,0.02,1.77
OPK,2021-07-29,Jun-21,0.02,-0.03,-0.05,-250
OPRT,2021-08-05,Jun-21,0.04,0.56,0.52,1300
OPRX,2021-08-04,Jun-21,0.07,0.1,0.03,42.86
ORA,2021-08-04,Jun-21,0.21,0.23,0.02,9.52
ORCL,2021-06-15,May-21,1.31,1.54,0.23,17.56
ORGO,2021-08-09,Jun-21,0.07,0.15,0.08,114.29
ORI,2021-07-22,Jun-21,0.5,0.73,0.23,46
ORIC,2021-08-10,Jun-21,-0.5,-0.57,-0.07,-14
ORLY,2021-07-28,Jun-21,7.28,8.33,1.05,14.42
ORMP,2021-07-14,May-21,-0.12,-0.17,-0.05,-41.67
OSBC,2021-07-21,Jun-21,0.33,0.3,-0.03,-9.09
OSH,2021-08-09,Jun-21,-0.36,-0.44,-0.08,-22.22
OSIS,2021-08-18,Jun-21,1.47,1.54,0.07,4.76
OSK,2021-07-29,Jun-21,2.23,2.09,-0.14,-6.28
OSPN,2021-08-04,Jun-21,-0.04,-0.04,0,0
OSTK,2021-07-29,Jun-21,0.84,1.72,0.88,104.76
OSUR,2021-08-03,Jun-21,0.04,-0.02,-0.06,-150
OSW,2021-08-05,Jun-21,-0.2,-0.16,0.04,20
OTIS,2021-07-26,Jun-21,0.71,0.79,0.08,11.27
OTRK,2021-08-05,Jun-21,-0.4,-0.12,0.28,70
OTTR,2021-08-02,Jun-21,0.55,1.01,0.46,83.64
OUT,2021-08-05,Jun-21,0.14,-0.05,-0.19,-135.71
OXM,2021-09-02,Jul-21,2.33,3.24,0.91,39.06
OZK,2021-07-22,Jun-21,0.94,1.16,0.22,23.4
PACB,2021-08-03,Jun-21,-0.2,-0.21,-0.01,-5
PACW,2021-07-19,Jun-21,0.98,1.52,0.54,55.1
PAG,2021-07-28,Jun-21,3.99,4.47,0.48,12.03
PAHC,2021-08-25,Jun-21,0.32,0.32,0,0
PANW,2021-08-23,Jul-21,1.44,1.6,0.16,11.11
PAR,2021-08-09,Jun-21,-0.47,-0.39,0.08,17.02
PARR,2021-08-04,Jun-21,-0.71,-0.81,-0.1,-14.08
PASG,2021-08-05,Jun-21,-0.73,-0.9,-0.17,-23.29
PATK,2021-07-29,Jun-21,1.83,2.52,0.69,37.7
PAYC,2021-08-03,Jun-21,0.83,0.97,0.14,16.87
PAYX,2021-06-25,May-21,0.67,0.72,0.05,7.46
PB,2021-07-28,Jun-21,1.4,1.41,0.01,0.71
PBF,2021-07-29,Jun-21,-1.03,-1.26,-0.23,-22.33
PBH,2021-08-05,Jun-21,0.86,1.14,0.28,32.56
PBI,2021-08-03,Jun-21,0.05,0.12,0.07,140
PCAR,2021-07-27,Jun-21,1.38,1.41,0.03,2.17
PCG,2021-07-29,Jun-21,0.29,0.27,-0.02,-6.9
PCH,2021-07-26,Jun-21,2.66,2.77,0.11,4.14
PCRX,2021-08-03,Jun-21,0.76,0.77,0.01,1.32
PCTY,2021-08-05,Jun-21,0.28,0.46,0.18,64.29
PCVX,2021-08-11,Jun-21,-0.46,-0.46,0,0
PD,2021-09-02,Jul-21,-0.16,-0.13,0.03,18.75
PDCE,2021-08-04,Jun-21,1.19,1.66,0.47,39.5
PDCO,2021-09-02,Jul-21,0.38,0.43,0.05,13.16
PDFS,2021-08-10,Jun-21,0.01,-0.01,-0.02,-200
PDM,2021-07-28,Jun-21,0.48,0.48,0,0
PEAK,2021-08-03,Jun-21,0.39,0.3,-0.09,-23.08
PEB,2021-07-29,Jun-21,-0.11,-0.07,0.04,36.36
PEBO,2021-07-20,Jun-21,0.65,0.51,-0.14,-21.54
PEG,2021-08-03,Jun-21,0.7,0.7,0,0
PEGA,2021-07-28,Jun-21,-0.23,0.23,0.46,200
PEN,2021-08-09,Jun-21,0.19,0.21,0.02,10.53
PENN,2021-08-05,Jun-21,0.93,1.17,0.24,25.81
PEP,2021-07-13,Jun-21,1.52,1.72,0.2,13.16
PETQ,2021-08-04,Jun-21,0.73,0.65,-0.08,-10.96
PFBC,2021-07-20,Jun-21,1.48,1.44,-0.04,-2.7
PFE,2021-07-28,Jun-21,0.97,1.07,0.1,10.31
PFG,2021-07-27,Jun-21,1.53,1.7,0.17,11.11
PFGC,2021-08-19,Jun-21,0.5,0.56,0.06,12
PFS,2021-07-30,Jun-21,0.45,0.58,0.13,28.89
PFSI,2021-08-05,Jun-21,3.48,2.94,-0.54,-15.52
PG,2021-07-30,Jun-21,1.08,1.13,0.05,4.63
PGC,2021-07-28,Jun-21,0.67,0.74,0.07,10.45
PGNY,2021-08-05,Jun-21,0.09,0.19,0.1,111.11
PGR,2021-07-15,Jun-21,1.17,1.51,0.34,29.06
PGRE,2021-07-27,Jun-21,0.2,-0.07,-0.27,-135
PGTI,2021-08-12,Jun-21,0.31,0.18,-0.13,-41.94
PH,2021-08-05,Jun-21,4.32,4.38,0.06,1.39
PHAT,2021-08-10,Jun-21,-1.07,-1,0.07,6.54
PHM,2021-07-27,Jun-21,1.72,1.72,0,0
PHR,2021-09-01,Jul-21,-0.22,-0.48,-0.26,-118.18
PI,2021-07-28,Jun-21,-0.05,0.11,0.16,320
PII,2021-07-27,Jun-21,2.23,2.7,0.47,21.08
PINC,2021-08-17,Jun-21,0.6,0.59,-0.01,-1.67
PING,2021-08-04,Jun-21,0.06,0.11,0.05,83.33
